[21 nov 23:42:13] Created new character, Helius(268485995), thonygez 127.0.0.1
[21 nov 23:43:05] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:20:36] Logged out, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:20:50] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:33:24] Logged out, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:33:31] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:41:08] Logged out, Helius(268485995) thonygez 127.0.0.1
[22 nov 0:41:13] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 9:19:15] Disconnected abnormally, Helius(268485995) thonygez 127.0.0.1
[22 nov 9:20:31] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 10:33:24] Created new character, Test(268495844), thonygez2 127.0.0.1
[22 nov 10:33:26] Logged in, Test(268495844) thonygez2 127.0.0.1
[22 nov 11:35:31] Logged out, Helius(268485995) thonygez 127.0.0.1
[22 nov 11:35:38] Logged in, Helius(268485995) thonygez 127.0.0.1
[22 nov 17:45:01] Disconnected, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:06:27] Created new character, Aerials(268486152), grespo 177.66.29.161
[28 nov 22:07:06] Logged in, Aerials(268486152) grespo 177.66.29.161
[28 nov 22:09:05] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:26:55] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:26:58] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:37:40] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:37:41] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:48:37] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:48:39] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:50:22] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:50:27] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:51:18] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:51:20] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:52:57] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:52:59] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:55:32] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 22:55:34] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:02:03] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:02:11] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:05:04] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:05:05] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:26:40] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:26:42] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:28:05] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:28:07] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:30:23] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:30:25] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:31:11] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:31:13] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:33:34] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:33:36] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:38:11] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:38:13] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:45:41] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:45:42] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:49:37] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:49:39] Logged in, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:49:58] Logged in, Test(268495844) thonygez2 127.0.0.1
[28 nov 23:51:27] Logged out, Test(268495844) thonygez2 127.0.0.1
[28 nov 23:51:29] Logged in, Test(268495844) thonygez2 127.0.0.1
[28 nov 23:51:35] Logged out, Helius(268485995) thonygez 127.0.0.1
[28 nov 23:51:37] Logged in, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:02:06] Logged in, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:02:18] Logged in, Test(268495844) thonygez2 127.0.0.1
[29 nov 0:10:45] Logged out, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:10:47] Logged in, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:25:35] Logged in, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:25:47] Logged in, Test(268495844) thonygez2 127.0.0.1
[29 nov 0:35:43] Logged out, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:35:45] Logged in, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:37:04] Logged out, Helius(268485995) thonygez 127.0.0.1
[29 nov 0:37:08] Logged in, Helius(268485995) thonygez 127.0.0.1
