[22 nov 0:33:32] AUDIT:Player Helius has invalid skill Weight Increase (1572/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Sigel Aura (1927/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Summon Royal Aegis (8600/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Superior Sword/Blunt Weapon Mastery (10001/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Superior Heavy Armor Mastery (10002/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Superior Shield Mastery (10003/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Superior M. Def. (10004/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Superior Mental Attack Resistance (10005/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Last Patience (10006/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Shield Charge (10008/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Last Judgment (10009/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Justice Punishment (10010/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:33] AUDIT:Player Helius has invalid skill Shield Impact (10011/5), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Shield Wave (10012/7), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Gust Blade (10013/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Chain Galaxy (10014/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Chain Strike (10015/6), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Chain Hydra (10016/6), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Final Ultimate Defense (10017/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Noble Sacrifice (10018/2), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Protection of Faith (10019/2), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Focus Shield (10020/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Spike Shield (10021/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Ignore Death (10022/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill King of Beasts (10023/2), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:34] AUDIT:Player Helius has invalid skill Party Rescue (10024/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Superior Aggression (10026/6), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Superior Aggression Aura (10027/5), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Rage Aura (10028/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Challenge Aura (10030/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Iron Aura (10032/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Aura Resistance (10034/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Recovery Aura (10036/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Spirit Aura (10038/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Summon Golden Lion (10040/6), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Summon Knight Cubic (10043/8), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Superior Elemental Mastery (10044/1), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
[22 nov 0:33:35] AUDIT:Player Helius has invalid skill Eva's Presence (10071/4), class:Wynn Elemental Master, L2PcInstance:Helius[268485995], BROADCAST
